TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c210538 473 5451
c61267 476 6483
c61269 472 6351
c210539 473 5871
c61268 476 6411
c153836 590 8271
c153841 599 7899
c153837 606 8223
c155025 613 8187
c154974 614 8331
c153612 621 9579
c153847 622 8487
c154175 623 8019
c153892 624 8067
c153834 624 8127
c153551 625 8139
c154983 630 8223
c154130 635 8535
c154255 640 8163
c153930 641 7827
c154253 642 8067
c154614 645 9219
c154181 643 8499
c153835 650 8259
c154128 651 8355
c154980 655 8211
c153752 653 8511
c154170 651 8391
c153746 657 8151
c153891 658 8619
c153787 659 8499
c154102 659 9051
c154977 661 8187
c153647 661 9663
c153943 661 8235
c153777 662 8175
c153934 662 8523
c154182 663 8343
c153810 663 8283
c154100 661 9099
c153833 664 8079
c154985 667 8355
c153838 667 8391
c155028 667 8055
c153935 667 8475
c153897 667 7923
c155024 664 8067
c155035 676 9099
c153811 668 8427
c154166 669 8271
c154794 671 9387
c154994 644 8307
c154174 677 8511
c153751 673 8547
c154104 676 8067
c153843 674 7743
c154097 674 9111
c154982 675 8247
c153839 678 8571
c154996 669 8415
c155031 680 8199
c153910 680 8043
c155033 681 9135
c154176 682 7983
c154501 679 8979
c154377 682 8091
c153908 677 8415
c154888 684 8631
c153743 685 8271
c153744 685 8259
c153553 685 8355
c154975 683 8247
c154987 692 8427
c153782 685 7767
c155032 685 8139
c153894 686 7791
c153620 686 9447
c154387 686 7899
c153760 691 8391
c154090 684 9399
c155026 691 8247
c154345 688 9411
c154094 692 8979
c153607 686 8487
c154896 690 8451
c154603 680 8319
c153896 690 7839
c154785 690 8379
c153920 691 8067
c154495 691 9279
c154607 691 8019
c153937 692 8343
c154394 697 9399
c154180 691 8523
c154342 692 9267
c153609 692 7947
c154613 693 9243
c154615 693 9111
c153819 693 8511
c154298 693 8823
c154134 690 7815
c154401 694 9303
c155039 692 8415
c154120 652 8307
c154339 689 8439
c153914 694 7851
c61295 695 5067
c153820 694 8487
c154404 697 9147
c154173 701 8439
c153650 697 9519
c153821 697 8415
c153876 699 9687
c153771 690 8223
c153907 700 8295
c153560 700 8175
c153812 701 8583
c154451 696 8379
c154391 703 9531
c154242 706 7815
c154986 704 8235
c154605 702 7911
c153761 708 8379
c153749 714 8223
c154378 705 7971
c154798 704 8403
c153619 705 9483
c153927 707 8523
c154376 707 8499
c153806 705 8055
c154117 706 8031
c154241 702 8043
c154098 708 9243
c154103 708 9027
c154379 693 7959
c154992 709 8403
c154979 709 8331
c154064 710 9471
c154981 667 8307
c154167 712 8175
c153757 712 7719
c153940 713 8091
c154256 711 8247
c153617 713 9315
c154088 714 9435
c153928 717 8043
c154138 721 8415
c154124 715 8199
c154177 716 7911
c153645 715 9423
c153848 715 8427
c153605 716 8115
c155063 716 9735
c154252 713 8163
c153905 717 8103
c154243 717 7731
c154380 710 8067
c154620 694 8319
c153780 722 8067
c154402 719 9255
c154891 716 8475
c154893 718 8511
c153803 675 8307
c154299 720 8859
c153755 721 7695
c155017 723 8475
c153798 721 8031
c153922 722 8019
c154139 718 8487
c154127 724 8247
c154136 722 7947
c154105 726 8163
c153776 705 8319
c154392 723 9579
c153800 699 8307
c154835 706 8079
c153873 724 9363
c154895 725 8511
